,perf,subjects,Network,Model
42,0.09656819766174661,1,language,GPT2XLU-lt
43,0.07591684869412171,1,language,GPT2XLU-lt
44,0.12463533411842036,1,language,GPT2XLU-lt
45,0.045888668510766506,1,language,GPT2XLU-lt
46,0.13350243578431498,1,language,GPT2XLU-lt
47,0.2703430461259844,2,language,GPT2XLU-lt
48,0.20752492262577107,2,language,GPT2XLU-lt
49,0.21181659600994968,2,language,GPT2XLU-lt
50,0.05929602902464459,2,language,GPT2XLU-lt
51,0.17086030693832913,2,language,GPT2XLU-lt
52,0.043192088403870565,2,language,GPT2XLU-lt
53,-0.07989619646356144,2,language,GPT2XLU-lt
54,-0.014775557513145871,2,language,GPT2XLU-lt
55,0.4092382816709897,3,language,GPT2XLU-lt
56,0.33469660189967865,3,language,GPT2XLU-lt
57,0.22009058603627435,3,language,GPT2XLU-lt
58,0.15493411295946524,3,language,GPT2XLU-lt
59,0.07311960442653151,3,language,GPT2XLU-lt
60,0.404344159432532,3,language,GPT2XLU-lt
61,0.39193664965410235,3,language,GPT2XLU-lt
62,0.2518858601808181,3,language,GPT2XLU-lt
63,0.2268686296271583,3,language,GPT2XLU-lt
64,0.24463138643195287,4,language,GPT2XLU-lt
65,0.24442075986976483,4,language,GPT2XLU-lt
66,0.159813220171278,4,language,GPT2XLU-lt
67,0.3577359833245282,4,language,GPT2XLU-lt
68,0.3333646659512187,4,language,GPT2XLU-lt
69,0.12478126973643755,4,language,GPT2XLU-lt
70,0.3227935600100548,4,language,GPT2XLU-lt
71,0.29715009393411707,4,language,GPT2XLU-lt
72,0.12751506766970894,4,language,GPT2XLU-lt
73,0.22383263234566866,4,language,GPT2XLU-lt
74,-0.019182992728258366,4,language,GPT2XLU-lt
75,0.013797254492461575,4,language,GPT2XLU-lt
76,0.12512631479107592,4,language,GPT2XLU-lt
77,0.2759229114503656,4,language,GPT2XLU-lt
78,0.1683815300837313,4,language,GPT2XLU-lt
79,-0.05012109330720984,5,language,GPT2XLU-lt
80,0.08527137174081383,5,language,GPT2XLU-lt
81,0.31344764946799597,5,language,GPT2XLU-lt
82,0.1163941811533872,5,language,GPT2XLU-lt
83,0.14483954145155337,5,language,GPT2XLU-lt
84,0.179595287542179,5,language,GPT2XLU-lt
85,0.3864116981920653,5,language,GPT2XLU-lt
86,0.003333560363779934,5,language,GPT2XLU-lt
87,0.0407955136276489,5,language,GPT2XLU-lt
88,0.03129785354393299,5,language,GPT2XLU-lt
89,0.03155320601739591,5,language,GPT2XLU-lt
90,-0.020074114914104237,5,language,GPT2XLU-lt
91,0.1805043511149996,5,language,GPT2XLU-lt
92,0.22957272519142863,5,language,GPT2XLU-lt
93,0.1444903140649348,5,language,GPT2XLU-lt
94,0.012024531467963803,5,language,GPT2XLU-lt
95,0.13698096646680474,5,language,GPT2XLU-lt
96,0.3907541620728072,5,language,GPT2XLU-lt
97,0.17975263957827198,1,language,GPT2XLU-mp
98,0.09941905001362993,1,language,GPT2XLU-mp
