,perf,subjects,Network,Model
7,0.16741765870640535,0,language,Simple
8,0.26652838908253784,0,language,Simple
9,0.17467658546103948,0,language,Simple
10,0.15459225984907476,0,language,Simple
11,0.10722570014405264,0,language,Simple
12,0.04667461488744351,1,language,Simple
13,0.12982441754397023,1,language,Simple
14,0.01070521547146086,1,language,Simple
15,0.1545679928211987,1,language,Simple
16,-0.06385807521328601,1,language,Simple
17,0.04352521365804307,1,language,Simple
18,0.12402375047525283,1,language,Simple
19,0.033257605924355005,1,language,Simple
20,0.15088949915437588,1,language,Simple
21,0.02124976954758573,1,language,Simple
22,0.045463047386198774,1,language,Simple
23,0.036432863746540534,1,language,Simple
24,0.0812883572549481,2,language,Simple
25,0.0265845009517669,2,language,Simple
26,-0.01528422350074976,2,language,Simple
27,0.045911154474154614,2,language,Simple
28,0.0951955687724968,2,language,Simple
29,0.07749319992055348,2,language,Simple
30,0.12670488018823534,2,language,Simple
31,-0.0494488043036978,2,language,Simple
32,0.11403792806745061,2,language,Simple
33,0.23048595368613434,2,language,Simple
34,0.08867233273177888,2,language,Simple
35,0.10837085203718289,2,language,Simple
36,0.16548234897511094,3,language,Simple
37,0.16650425988727058,3,language,Simple
38,0.2597576229571441,3,language,Simple
39,0.16129087758574912,3,language,Simple
40,0.1186974594511554,3,language,Simple
41,0.04132397520342579,3,language,Simple
42,0.0634860967077513,3,language,Simple
43,0.13985273724713743,3,language,Simple
44,0.03466816073531831,3,language,Simple
45,0.06865184434847293,3,language,Simple
46,0.041154738910954336,3,language,Simple
47,0.07139552304084962,3,language,Simple
48,0.09860430914229035,4,language,Simple
49,-0.04672619734733985,4,language,Simple
50,-0.03238523658483672,4,language,Simple
51,-0.07941823018482808,4,language,Simple
52,-0.0032493612905710734,4,language,Simple
53,0.0831497826891443,4,language,Simple
54,0.023359084148864895,4,language,Simple
55,0.06315617212622726,4,language,Simple
56,0.0168571002914657,4,language,Simple
57,0.0036034683887353758,4,language,Simple
58,-0.05028254288455347,4,language,Simple
59,0.07221042439568492,4,language,Simple
