,fe,subject,pval,pval_orig,shuffled,network
33,-lt,1,0.00019628379647628237,4.7980483583091246e-05,shuffled,language
34,-lt,1,0.07426030181973613,0.05115709680915156,shuffled,language
35,-lt,1,0.03912993175681717,0.02260840501504992,shuffled,language
36,-lt,1,0.02430876228102788,0.012964673216548202,shuffled,language
37,-lt,1,0.005119581033919747,0.002161600880988338,shuffled,language
38,-lt,1,0.02364700082913614,0.012086244868225137,shuffled,language
39,-lt,1,0.08869235889538718,0.06504106318995061,shuffled,language
40,-lt,1,0.10308892382311388,0.0824711390584911,shuffled,language
41,-lt,1,0.0929500980333745,0.07229452069262461,shuffled,language
42,-lt,1,0.08257834983378155,0.05872238210402243,shuffled,language
43,-lt,1,0.28120149044195597,0.256205802402671,shuffled,language
44,-lt,1,0.03928441134949267,0.0235706468096956,shuffled,language
45,-lt,2,0.00668084503024287,0.00222694834341429,shuffled,language
46,-lt,2,0.017660567365915363,0.017660567365915363,shuffled,language
47,-lt,2,0.013796214862262677,0.009197476574841785,shuffled,language
48,-lt,3,0.8900556106603215,0.8900556106603215,shuffled,language
49,-lt,3,1.4859599440731744e-05,2.9719198881463487e-06,shuffled,language
50,-lt,3,9.582043089468597e-05,3.832817235787439e-05,shuffled,language
51,-lt,3,0.0005105742197244647,0.0004084593757795718,shuffled,language
52,-lt,3,0.0005105742197244647,0.0003781667611555982,shuffled,language
53,-lt,4,4.964062326158498e-05,7.637018963320766e-06,shuffled,language
54,-lt,4,0.06225592305760994,0.038311337266221504,shuffled,language
55,-lt,4,0.09702642637031833,0.06717214133329731,shuffled,language
56,-lt,4,1.1782792251351125e-06,9.063686347193174e-08,shuffled,language
57,-lt,4,0.0008226523904476743,0.00025312381244543825,shuffled,language
58,-lt,4,0.03667036996312082,0.019745583826295824,shuffled,language
59,-lt,4,0.001546390962349686,0.0005947657547498792,shuffled,language
60,-lt,4,0.0002724536908776576,6.287392866407483e-05,shuffled,language
61,-lt,4,0.16364840865987632,0.12588339127682793,shuffled,language
62,-lt,4,0.002519745256053161,0.0011629593489476129,shuffled,language
63,-lt,4,0.9908787973736841,0.9908787973736841,shuffled,language
64,-lt,4,0.8938125656771891,0.82505775293279,shuffled,language
65,-lt,4,0.18984443439025203,0.16063759833021324,shuffled,language
66,-lt,5,0.03463481111842281,0.03463481111842281,shuffled,language
67,-lt,5,6.869011146706845e-06,3.4345055733534225e-06,shuffled,language
68,-sp,1,0.0019956363321683443,0.0007517912230748205,shuffled,language
69,-sp,1,0.5983807328028535,0.5789906822513536,shuffled,language
70,-sp,1,2.9232187963301127e-08,1.2992083539244945e-09,shuffled,language
71,-sp,1,2.7205609441012878e-05,4.231983690824225e-06,shuffled,language
72,-sp,1,0.04600018615919618,0.030666790772797457,shuffled,language
73,-sp,1,1.8475117861420487e-07,1.231674524094699e-08,shuffled,language
74,-sp,1,0.002638942192110812,0.0011142200366690096,shuffled,language
75,-sp,1,0.975529397338096,0.975529397338096,shuffled,language
76,-sp,1,0.0008510860645698691,0.00026478233119951484,shuffled,language
77,-sp,1,2.9462316900940425e-06,3.92830892012539e-07,shuffled,language
78,-sp,1,0.004694910962711771,0.0020866270945385647,shuffled,language
79,-sp,1,0.15381892903078015,0.12989154007043657,shuffled,language
80,-sp,1,0.029312888412631403,0.01823913056785954,shuffled,language
81,-sp,1,0.0012313369197322179,0.00041044563991073926,shuffled,language
82,-sp,1,0.016852327035351857,0.008987907752187657,shuffled,language
83,-sp,1,0.0019956363321683443,0.0007539070588191523,shuffled,language
84,-sp,1,0.18684593546100794,0.1619331440662069,shuffled,language
85,-sp,1,0.5983807328028535,0.5850833831850124,shuffled,language
86,-sp,1,1.2161435356920388e-06,1.3512705952133765e-07,shuffled,language
87,-sp,1,0.24070791738671538,0.2139625932326359,shuffled,language
88,-sp,1,0.5153406692290156,0.4695326097419919,shuffled,language
89,-sp,1,0.010398468199254097,0.0053147726351743165,shuffled,language
90,-sp,1,0.0007503484417271484,0.0002167673276100651,shuffled,language
91,-sp,1,4.540808208866063e-09,1.009068490859125e-10,shuffled,language
92,-sp,1,3.4640511077014856e-05,8.467680485492521e-06,shuffled,language
93,-sp,1,3.440942616628436e-05,7.470249559122281e-06,shuffled,language
94,-sp,1,6.725476461367091e-07,5.97820129899297e-08,shuffled,language
95,-sp,1,0.5321867893966368,0.4967076701035277,shuffled,language
96,-sp,1,2.9973189436603634e-05,5.328567010951757e-06,shuffled,language
97,-sp,1,3.440942616628436e-05,7.646539148063191e-06,shuffled,language
98,-sp,1,0.10732052967294343,0.07870172176015852,shuffled,language
99,-sp,1,0.03696416504159967,0.02382135080458645,shuffled,language
100,-sp,1,0.0025904634313206705,0.0010361853725282682,shuffled,language
101,-sp,1,0.0004776508087620592,0.0001273735490032158,shuffled,language
102,-sp,1,0.06132956428606142,0.042249255397064533,shuffled,language
103,-sp,1,0.01918462632642557,0.010778513989817162,shuffled,language
104,-sp,1,0.010302083785570543,0.005036574295167821,shuffled,language
105,-sp,1,0.005712846474833276,0.002665995021588862,shuffled,language
106,-sp,1,0.01918462632642557,0.011084450766379218,shuffled,language
107,-sp,1,0.08962037203051643,0.06373004233281168,shuffled,language
108,-sp,1,0.13571905718355037,0.11159122479536364,shuffled,language
109,-sp,1,0.1298583607966227,0.10264581174994637,shuffled,language
110,-sp,1,0.12007493345315601,0.09072328305349565,shuffled,language
111,-sp,1,0.1298583607966227,0.10388668863729815,shuffled,language
